MatchNo,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Home Form,Away Form,Home Streak,Away Streak
106,20,14,1,4,1,0,2,1,6,15,1,7,9,13,2,3,3,0,0,0,0.5973645309069999,0.972658843993,0.4166666666666667,0.4166666666666667
107,3,9,1,0,0,0,0,2,18,10,8,2,16,20,4,7,1,3,0,0,1.39564314485377,0.6895359337462299,0.5,0.5833333333333334
108,5,7,3,2,0,0,0,2,10,11,5,3,14,12,2,5,0,2,0,0,0.80678583891577,0.6908559825532301,0.08333333333333333,0.3333333333333333
109,19,1,3,1,0,1,0,0,9,6,5,3,15,15,5,5,1,6,0,0,2.417712247831,0.43709896216899996,1.0,0.75
110,18,4,1,0,0,0,0,2,12,11,2,3,6,7,10,9,0,2,0,0,1.475749235731,0.09045838216899997,0.75,0.3333333333333333
111,1,18,2,0,0,2,0,0,14,14,5,4,11,16,7,4,4,1,0,0,2.829636932662,1.150354470838,0.5,0.75
112,11,17,4,0,0,2,0,0,11,20,5,3,13,10,8,11,3,2,1,0,0.6044938186000001,0.2680099093,0.5,0.5
113,12,16,2,0,0,2,0,0,16,13,7,1,12,12,8,6,1,1,0,0,1.140949540138,0.334181077693,0.5833333333333334,0.25
114,4,5,2,2,2,2,2,2,16,8,7,5,9,26,9,4,2,3,0,0,0.7801711939467699,0.64393529248423,0.3333333333333333,0.3333333333333333
115,13,19,0,2,1,0,1,1,2,12,0,4,8,10,1,7,1,1,0,0,0.5688778786690001,2.7868961242,0.6666666666666666,1.0
116,14,6,3,0,0,2,0,0,21,5,8,0,15,9,10,2,1,1,0,0,1.971923738038,0.6186540398619998,0.5833333333333334,0.4166666666666667
117,9,10,4,1,0,2,1,0,16,12,7,5,10,9,11,4,1,1,0,0,2.84555030772277,0.26076820094623,0.3333333333333333,0.3333333333333333
118,8,3,0,4,1,0,3,1,7,11,2,7,13,12,3,4,2,3,0,0,0.53263254457777,1.9742858346532304,0.08333333333333333,0.75
119,7,20,2,0,0,1,0,0,17,10,7,6,13,10,3,1,1,4,0,0,0.8008100145777701,0.5305862482912299,0.25,0.16666666666666666
120,2,15,2,2,2,1,2,1,9,13,3,6,13,5,6,7,1,0,0,0,0.8938728379690001,0.7773456441309999,0.6666666666666666,0.3333333333333333
121,20,13,1,1,2,1,1,2,8,7,4,2,9,12,5,5,1,1,0,0,0.6946736671469201,0.7949315650910799,0.08333333333333333,0.5833333333333334
122,4,15,2,1,0,0,0,2,10,9,5,3,9,5,5,2,1,1,0,0,1.0366952565099998,0.5208215815677699,0.16666666666666666,0.4166666666666667
123,14,3,1,1,2,0,0,2,16,11,4,3,10,7,7,8,0,0,0,0,1.9727032299210256,1.973506342770204,0.75,1.0
124,9,2,1,0,0,0,0,2,15,8,4,2,9,9,5,0,0,2,0,0,3.1492509631677703,0.6166043610549999,0.5,0.6666666666666666
